year,rank,id,name,team,pos,gms,pyds,ptd,pint,ryds,rtd,rec,reyds,retd,fum,fpts/g,fpts
2019,191,19996,Jaylen Samuels,PIT,RB,14,35,0,1,175,1,47,305,1,1,4.1,57.4
2019,192,19033,Brian Hill,ATL,RB,12,0,0,0,323,2,10,69,1,0,4.8,57.2
2019,193,17053,Malcolm Brown,LAR,RB,14,0,0,0,255,5,2,16,0,0,4.1,57.1
2019,193,18123,Jeff Driskel,DET,QB,3,685,4,4,151,1,1,6,0,0,19,57.1
2019,195,18058,Tajae Sharpe,TEN,WR,15,0,0,0,0,0,25,329,4,0,3.8,56.9
2019,196,12109,Ted Ginn Jr.,NO,WR,16,0,0,0,18,0,30,421,2,0,3.5,55.9
2019,197,16451,Eric Ebron,IND,TE,11,0,0,0,0,0,31,375,3,0,5,55.5
2019,198,16593,Cameron Brate,TB,TE,16,0,0,0,0,0,36,311,4,0,3.4,55.1
2019,199,16781,Nelson Agholor O,PHI,WR,11,0,0,0,7,0,39,363,3,1,5,55
2019,200,20950,Benny Snell Jr.,PIT,RB,13,0,0,0,426,2,3,23,0,1,4.2,54.9
2019,201,19514,Keelan Cole,JAX,WR,16,0,0,0,6,0,24,361,3,0,3.4,54.7
2019,202,19457,Blake Jarwin,DAL,TE,16,0,0,0,0,0,31,365,3,0,3.4,54.5
2019,203,4932,Eli Manning,NYG,QB,4,1042,6,5,7,0,0,0,0,1,13.6,54.38
2019,204,21277,David Blough,DET,QB,5,984,4,6,31,0,1,19,1,0,10.9,54.36
2019,205,19903,Jordan Akins O,HOU,TE,16,0,0,0,0,0,36,418,2,0,3.4,53.8
2019,206,19897,Tre'Quan Smith,NO,WR,11,0,0,0,0,0,18,234,5,0,4.9,53.4
2019,207,18197,Alex Erickson,CIN,WR,16,26,0,0,33,0,43,529,0,2,3.3,53.24
2019,208,19281,Jacob Hollister,SEA,TE,11,0,0,0,0,0,41,349,3,0,4.8,52.9
2019,209,18935,Gerald Everett,LAR,TE,13,0,0,0,0,0,37,408,2,0,4.1,52.8
2019,209,20500,Darrel Williams IR,KC,RB,10,0,0,0,141,3,15,167,1,1,5.3,52.8
2019,211,20850,Dawson Knox,BUF,TE,15,0,0,0,9,0,28,388,2,0,3.4,51.7
2019,212,15102,Chris Thompson,WAS,RB,11,0,0,0,138,0,42,378,0,0,4.7,51.6
2019,212,16253,Allen Hurns,MIA,WR,14,0,0,0,0,0,32,416,2,1,3.7,51.6
2019,214,21562,Devlin Hodges,PIT,QB,8,1063,5,8,68,0,0,0,0,1,6.4,51.32
2019,215,19950,Will Dissly IR,SEA,TE,6,0,0,0,7,0,23,262,4,0,8.5,50.9
2019,216,19797,Derrius Guice,WAS,RB,5,0,0,0,245,2,7,79,1,0,10.1,50.4
2019,217,18901,O.J. Howard,TB,TE,14,0,0,0,0,0,34,459,1,1,3.6,49.9
2019,218,18464,JD McKissic,DET,RB,16,0,0,0,205,0,34,233,1,0,3.1,49.8
2019,218,20006,Russell Gage,ATL,WR,16,0,0,0,12,0,49,446,1,1,3.1,49.8
2019,220,17290,Adam Humphries P,TEN,WR,12,0,0,0,1,0,37,374,2,0,4.1,49.5
2019,221,11197,Demaryius Thomas,NYJ,WR,11,0,0,0,0,0,36,433,1,0,4.5,49.3
2019,222,20805,T.J. Hockenson,DET,TE,12,0,0,0,0,0,32,367,2,0,4.1,48.7
2019,223,20836,Olabisi Johnson,MIN,WR,16,0,0,0,6,0,31,294,3,0,3,48
2019,224,20884,Foster Moreau,OAK,TE,13,0,0,0,0,0,21,174,5,0,3.6,47.4
2019,225,20159,Mike Boone,MIN,RB,16,0,0,0,273,3,3,17,0,0,2.9,47
2019,225,19979,Jordan Wilkins,IND,RB,14,0,0,0,307,2,7,43,0,0,3.4,47
2019,227,19843,Hayden Hurst,BAL,TE,16,0,0,0,0,0,30,349,2,0,2.9,46.9
2019,228,18690,Jalen Richard,OAK,RB,16,0,0,0,145,0,36,323,0,0,2.9,46.8
2019,229,14587,Josh Gordon SUS,SEA,WR,11,0,0,1,1,0,27,426,1,0,4.2,46.7
2019,230,16308,Albert Wilson,MIA,WR,13,20,0,0,45,0,43,351,1,0,3.6,46.4
2019,231,15239,Vance McDonald,PIT,TE,14,0,0,0,2,0,38,273,3,0,3.2,45.5
2019,232,21211,Patrick Laird,MIA,RB,15,0,0,0,168,1,23,204,0,0,3,45.2
2019,233,19410,Ricky Seals-Jones,CLE,TE,14,0,0,0,0,0,14,229,4,1,3.2,44.9
2019,234,20946,Kaden Smith,NYG,TE,9,0,0,0,0,0,31,268,3,0,5,44.8
2019,235,16931,Nick Boyle,BAL,TE,16,0,0,0,0,0,31,321,2,0,2.8,44.1
2019,236,20360,Jeffery Wilson,SF,RB,10,0,0,0,105,4,3,34,1,0,4.4,43.9
2019,237,20949,Irv Smith Jr.,MIN,TE,16,0,0,0,0,0,36,311,2,0,2.7,43.1
2019,238,19120,David Moore,SEA,WR,14,0,0,0,25,0,17,301,2,1,3,42.6
2019,239,5834,Matt Moore,KC,QB,6,659,4,0,-1,0,0,0,0,0,7,42.26
2019,240,20012,Bo Scarbrough,DET,RB,6,0,0,0,377,1,1,5,0,1,7,42.2
2019,241,16278,Cody Latimer,NYG,WR,15,0,0,0,0,0,24,300,2,0,2.8,42
2019,242,13741,Brandon Bolden,NE,RB,15,0,0,0,68,3,9,111,1,0,2.8,41.9
2019,243,20802,Justice Hill,BAL,RB,16,0,0,0,225,2,8,70,0,0,2.6,41.5
2019,244,18269,Geronimo Allison,GB,WR,16,0,0,0,7,0,34,287,2,1,2.6,41.4
2019,245,12708,Dion Lewis,TEN,RB,16,0,0,0,209,0,25,164,1,1,2.6,41.3
2019,246,19017,Josh Reynolds,LAR,WR,16,0,0,0,23,0,21,326,1,0,2.6,40.9
2019,247,15866,Josh Hill,NO,TE,16,0,0,0,0,0,25,226,3,0,2.5,40.6
2019,248,19626,Dare Ogunbowale,TB,RB,16,0,0,0,17,2,35,286,0,1,2.5,40.3
2019,249,17141,Damiere Byrd,ARI,WR,11,0,0,0,0,0,32,359,1,1,3.6,39.9
2019,250,18209,Marcus Johnson,IND,WR,8,0,0,0,0,0,17,277,2,0,5,39.7
2019,251,16326,Seth Roberts,BAL,WR,16,0,0,0,0,0,21,271,2,0,2.4,39.1
2019,252,14916,Giovani Bernard,CIN,RB,16,0,0,0,170,0,30,234,0,1,2.4,38.4
2019,253,19824,Kalen Ballage,MIA,RB,12,0,0,0,135,3,14,63,0,0,3.2,37.8
2019,253,21037,Miles Boykin,BAL,WR,16,0,0,0,0,0,13,198,3,0,2.4,37.8
2019,255,13723,Nick Foles,JAX,QB,4,736,3,2,23,0,0,0,0,2,9.4,37.74
2019,256,18996,Wayne Gallman,NYG,RB,10,0,0,0,110,2,11,102,1,1,3.7,37.2
2019,256,20743,Ryquell Armstead,JAX,RB,16,0,0,0,108,0,14,144,2,0,2.3,37.2
2019,258,20789,Kelvin Harmon,WAS,WR,16,11,0,0,0,0,30,365,0,0,2.3,36.94
2019,259,16694,Paul Richardson,WAS,WR,10,0,0,0,0,0,28,245,2,0,3.6,36.5
